I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A00,Холера
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A00.0,"Холера, вызванная вибрионом 01, биовар cholerae"
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A00.1,"Холера, вызванная вибрионом 01, биовар eltor"
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A00.9,Холера неуточненная
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A01,Тиф и паратиф
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A01.0,Брюшной тиф
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A01.1,Паратиф А
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A01.2,Паратиф В
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A01.3,Паратиф С
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A01.4,Паратиф неуточненный
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A02,Другие сальмонелезные инфекции
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A02.0,Сальмонеллезный энтерит
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A02.1,Сальмонеллезная септицемия
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A02.2,Локализованная сальмонеллезная инфекция
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A02.8,Другая уточненная сальмонеллезная инфекция
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A02.9,Сальмонеллезная инфекция неуточненная
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A03,Шигелез
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A03.0,"Шигеллез, вызванный Shigella dysenteriae"
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A03.1,"Шигеллез, вызванный Shigella flexneri"
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A03.2,"Шигеллез, вызванный Shigella boydii"
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A03.3,"Шигеллез, вызванный Shigella sonnei"
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A03.8,Другой шигеллез
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A03.9,Шигеллез неуточненный
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A04,Другие бактериальные кишечные инфекции
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A04.0,"Энтеропатогенная инфекция, вызванная Escherichia coli"
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A04.1,"Энтеротоксигенная инфекция, вызванная Escherichia coli"
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A04.2,"Энтероинвазивная инфекция, вызванная Escherichia coli"
I,Некоторые инфекционные и паразитарные болезни,(A00-A09),Кишечные инфекции,A04.3,"Энтерогеморрагическая инфекция, вызванная Escherihia coli"
